,title,price,year,link,brand,age
0,2000 crownline cr242 boat,18000,2000.0,https://norfolk.craigslist.org/boa/d/virginia-beach-2000-crownline-cr242-boat/7824617066.html,crownline,25.0
1,"new never sold 10' trinka row/ motor, 3.5hp. cover. bridle. trailer",1,,https://annapolis.craigslist.org/boa/d/virginia-beach-new-never-sold-10-trinka/7824551425.html,missing,
2,"2019 bayliner 190 deck boat, 150hp 4s, galv. trailer freshwater boat",1,2019.0,https://annapolis.craigslist.org/boa/d/virginia-beach-2019-bayliner-190-deck/7824549562.html,bayliner,6.0
3,trailex seitech boat yard trailer for sale all aluminum adjustable,1,,https://norfolk.craigslist.org/boa/d/virginia-beach-trailex-seitech-boat/7824549440.html,missing,
4,"new trinka boat for sale 10' row/ motor, 3.5hp, cover, bridle,traier",1,,https://eastnc.craigslist.org/boa/d/virginia-beach-new-trinka-boat-for-sale/7824549242.html,missing,
5,"bayliner 190 deckboat, 150hp mercury 4s, wakeboard arch w/bimini top",1,,https://norfolk.craigslist.org/boa/d/virginia-beach-bayliner-190-deckboat/7817283227.html,bayliner,
6,key features of the harris cruiser 240,18400,,https://norfolk.craigslist.org/boa/d/virginia-beach-key-features-of-the/7824497452.html,missing,
7,"2012 lund predator | 225hp merc, talon, new batteries & charger",23300,2012.0,https://norfolk.craigslist.org/boa/d/virginia-beach-2012-lund-predator-225hp/7816270073.html,lund,13.0
8,the sea ray 290 //amberjack is a well-rounded vessel designed for both,24000,,https://norfolk.craigslist.org/boa/d/virginia-beach-the-sea-ray-290/7824088361.html,missing,
9,60'loa x 19.4'beam: trilevel twin diesel trawler 3staterooms 3.5heads,142000,,https://norfolk.craigslist.org/boa/d/virginia-beach-60loa-194beam-trilevel/7819346907.html,missing,
10,catalina 30,1,,https://norfolk.craigslist.org/boa/d/norfolk-catalina-30/7824035759.html,catalina,
11,avalon 25 windjammer rl / /. pontoon boat,18700,,https://norfolk.craigslist.org/boa/d/virginia-beach-avalon-25-windjammer-rl/7823814232.html,avalon,
